PERMNO,date,TICKER,FACPR,PRC
84398,07/06/2011,SPY,,133.97000
84398,07/07/2011,SPY,,135.36000
84398,07/08/2011,SPY,,134.39999
84398,07/11/2011,SPY,,131.97000
84398,07/12/2011,SPY,,131.39999
84398,07/13/2011,SPY,,131.84000
84398,07/14/2011,SPY,,130.92999
84398,07/15/2011,SPY,,131.69000
84398,07/18/2011,SPY,,130.61000
84398,07/19/2011,SPY,,132.73000
84398,07/20/2011,SPY,,132.64999
84398,07/21/2011,SPY,,134.49001
84398,07/22/2011,SPY,,134.58000
84398,07/25/2011,SPY,,133.83000
84398,07/26/2011,SPY,,133.33000
84398,07/27/2011,SPY,,130.60001
84398,07/28/2011,SPY,,130.22000
84398,07/29/2011,SPY,,129.33000
84398,08/01/2011,SPY,,128.78000
84398,08/02/2011,SPY,,125.49000
84398,08/03/2011,SPY,,126.17000
84398,08/04/2011,SPY,,120.26000
84398,08/05/2011,SPY,,120.08000
84398,08/08/2011,SPY,,112.26000
84398,08/09/2011,SPY,,117.48000
84398,08/10/2011,SPY,,112.29000
84398,08/11/2011,SPY,,117.33000
84398,08/12/2011,SPY,,118.12000
84398,08/15/2011,SPY,,120.62000
84398,08/16/2011,SPY,,119.59000
84398,08/17/2011,SPY,,119.67000
84398,08/18/2011,SPY,,114.51000
84398,08/19/2011,SPY,,112.64000
84398,08/22/2011,SPY,,112.73000
84398,08/23/2011,SPY,,116.44000
84398,08/24/2011,SPY,,118.08000
84398,08/25/2011,SPY,,116.28000
84398,08/26/2011,SPY,,117.97000
84398,08/29/2011,SPY,,121.36000
84398,08/30/2011,SPY,,121.68000
84398,08/31/2011,SPY,,122.22000
84398,09/01/2011,SPY,,120.94000
84398,09/02/2011,SPY,,117.85000
84398,09/06/2011,SPY,,116.99000
84398,09/07/2011,SPY,,120.29000
84398,09/08/2011,SPY,,119.04000
84398,09/09/2011,SPY,,115.92000
84398,09/12/2011,SPY,,116.67000
84398,09/13/2011,SPY,,117.74000
84398,09/14/2011,SPY,,119.37000
84398,09/15/2011,SPY,,121.43000
84398,09/16/2011,SPY,0.00000,121.52100
84398,09/19/2011,SPY,,120.31000
84398,09/20/2011,SPY,,120.17000
84398,09/21/2011,SPY,,116.63000
84398,09/22/2011,SPY,,112.86000
84398,09/23/2011,SPY,,113.54000
84398,09/26/2011,SPY,,116.24000
84398,09/27/2011,SPY,,117.54000
84398,09/28/2011,SPY,,115.14500
84398,09/29/2011,SPY,,116.05000
84398,09/30/2011,SPY,,113.15000
84398,10/03/2011,SPY,,109.93000
84398,10/04/2011,SPY,,112.34000
84398,10/05/2011,SPY,,114.42000
84398,10/06/2011,SPY,,116.49000
84398,10/07/2011,SPY,,115.71000
84398,10/10/2011,SPY,,119.58000
84398,10/11/2011,SPY,,119.70000
84398,10/12/2011,SPY,,120.75000
84398,10/13/2011,SPY,,120.51000
84398,10/14/2011,SPY,,122.57000
84398,10/17/2011,SPY,,120.23000
84398,10/18/2011,SPY,,122.58000
84398,10/19/2011,SPY,,121.13000
84398,10/20/2011,SPY,,121.66000
84398,10/21/2011,SPY,,123.97000
84398,10/24/2011,SPY,,125.49000
84398,10/25/2011,SPY,,123.04900
84398,10/26/2011,SPY,,124.30000
84398,10/27/2011,SPY,,128.63000
84398,10/28/2011,SPY,,128.60001
84398,10/31/2011,SPY,,125.50000
84398,11/01/2011,SPY,,122.00200
84398,11/02/2011,SPY,,123.99000
84398,11/03/2011,SPY,,126.25000
84398,11/04/2011,SPY,,125.48100
84398,11/07/2011,SPY,,126.26000
84398,11/08/2011,SPY,,127.88000
84398,11/09/2011,SPY,,123.16100
84398,11/10/2011,SPY,,124.32000
84398,11/11/2011,SPY,,126.66000
84398,11/14/2011,SPY,,125.46000
84398,11/15/2011,SPY,,126.08300
84398,11/16/2011,SPY,,124.08000
84398,11/17/2011,SPY,,122.10500
84398,11/18/2011,SPY,,121.97900
84398,11/21/2011,SPY,,119.66100
84398,11/22/2011,SPY,,119.19000
84398,11/23/2011,SPY,,116.56000
84398,11/25/2011,SPY,,116.34000
84398,11/28/2011,SPY,,119.71000
84398,11/29/2011,SPY,,120.05000
84398,11/30/2011,SPY,,124.99000
84398,12/01/2011,SPY,,124.97000
84398,12/02/2011,SPY,,124.86000
84398,12/05/2011,SPY,,126.22000
84398,12/06/2011,SPY,,126.26000
84398,12/07/2011,SPY,,126.73000
84398,12/08/2011,SPY,,123.95000
84398,12/09/2011,SPY,,126.05000
84398,12/12/2011,SPY,,124.21000
84398,12/13/2011,SPY,,123.05000
84398,12/14/2011,SPY,,121.74000
84398,12/15/2011,SPY,,122.18500
84398,12/16/2011,SPY,0.00000,121.59000
84398,12/19/2011,SPY,,120.29000
84398,12/20/2011,SPY,,123.93000
84398,12/21/2011,SPY,,124.17000
84398,12/22/2011,SPY,,125.27000
84398,12/23/2011,SPY,,126.39000
84398,12/27/2011,SPY,,126.49000
84398,12/28/2011,SPY,,124.83000
84398,12/29/2011,SPY,,126.12000
84398,12/30/2011,SPY,,125.50000
84398,01/03/2012,SPY,,127.49500
84398,01/04/2012,SPY,,127.70000
84398,01/05/2012,SPY,,128.03999
84398,01/06/2012,SPY,,127.71000
84398,01/09/2012,SPY,,128.02000
84398,01/10/2012,SPY,,129.13000
84398,01/11/2012,SPY,,129.20000
84398,01/12/2012,SPY,,129.50999
84398,01/13/2012,SPY,,128.84000
84398,01/17/2012,SPY,,129.34000
84398,01/18/2012,SPY,,130.77000
84398,01/19/2012,SPY,,131.46001
84398,01/20/2012,SPY,,131.53999
84398,01/23/2012,SPY,,131.61000
84398,01/24/2012,SPY,,131.46001
84398,01/25/2012,SPY,,132.56000
84398,01/26/2012,SPY,,131.88000
84398,01/27/2012,SPY,,131.82001
84398,01/30/2012,SPY,,131.37000
84398,01/31/2012,SPY,,131.32001
84398,02/01/2012,SPY,,132.47000
84398,02/02/2012,SPY,,132.67999
84398,02/03/2012,SPY,,134.53999
84398,02/06/2012,SPY,,134.45000
84398,02/07/2012,SPY,,134.78999
84398,02/08/2012,SPY,,135.19000
84398,02/09/2012,SPY,,135.36000
84398,02/10/2012,SPY,,134.36099
84398,02/13/2012,SPY,,135.36000
84398,02/14/2012,SPY,,135.19000
84398,02/15/2012,SPY,,134.56000
84398,02/16/2012,SPY,,136.04900
84398,02/17/2012,SPY,,136.41000
84398,02/21/2012,SPY,,136.47000
84398,02/22/2012,SPY,,136.03200
84398,02/23/2012,SPY,,136.63100
84398,02/24/2012,SPY,,136.92999
84398,02/27/2012,SPY,,137.16000
